Rank,Cluster,Seq_ID,Avg_%_Identity,CDR_length
1,1,Sequence_14,43.501243,64
2,1,Sequence_76,42.99564179746835,66
3,1,Sequence_2,42.71357737974683,68
4,1,Sequence_73,42.20651525316457,69
5,1,Sequence_16,42.11441072151899,67
6,1,Sequence_32,41.83014092405063,68
7,1,Sequence_25,41.20588667088607,68
8,1,Sequence_26,41.12186239240507,68
9,1,Sequence_3,40.92521948101265,66
10,1,Sequence_28,40.92521948101265,66
11,1,Sequence_48,40.813199518987346,67
12,1,Sequence_63,40.74461402531646,67
13,1,Sequence_31,40.52210816455697,68
14,1,Sequence_100,40.26941834177216,69
15,1,Sequence_93,39.717188531645576,66
16,1,Sequence_77,39.51459832911393,69
17,1,Sequence_99,39.250497392405066,69
18,1,Sequence_64,39.23226584810127,67
19,1,Sequence_62,38.25070822784811,77
20,1,Sequence_6,38.05768829113924,61
21,1,Sequence_92,37.863338759493665,69
22,1,Sequence_61,37.85853505063291,69
23,1,Sequence_79,37.830157,74
24,1,Sequence_9,37.78470006329113,70
25,1,Sequence_29,37.55256213924051,68
26,1,Sequence_71,37.55092494936709,68
27,1,Sequence_98,37.55092494936709,68
28,1,Sequence_85,37.54483744303799,63
29,1,Sequence_103,37.51774734177216,68
30,1,Sequence_90,37.495079835443036,68
31,1,Sequence_70,37.37289898734177,61
32,1,Sequence_83,37.17166551898734,73
33,1,Sequence_11,36.87594082278481,64
34,1,Sequence_59,36.813974088607594,68
35,1,Sequence_46,36.7889290506329,67
36,1,Sequence_27,36.6881096329114,61
37,1,Sequence_95,36.65264497468355,68
38,1,Sequence_49,36.478522999999996,73
39,1,Sequence_4,36.466753215189875,64
40,1,Sequence_19,36.41834403797468,61
41,1,Sequence_7,36.24497483544304,64
42,1,Sequence_12,36.23158334177215,61
43,1,Sequence_18,36.231583341772144,61
44,1,Sequence_38,35.608428544303806,69
45,1,Sequence_69,35.52299289873419,74
46,1,Sequence_50,35.421291822784816,75
47,1,Sequence_13,35.36301174683545,77
48,1,Sequence_65,35.118723835443035,67
49,1,Sequence_55,35.05592710126582,66
50,1,Sequence_5,34.981794962025305,73
51,1,Sequence_57,34.974336886075946,69
52,1,Sequence_86,34.832684164556966,66
53,1,Sequence_21,34.63115473417722,71
54,1,Sequence_88,34.56933658227848,64
55,1,Sequence_8,34.39957444303798,71
56,1,Sequence_60,33.87571825316456,76
57,1,Sequence_68,33.79373118987341,77
58,1,Sequence_96,33.602119708860755,73
59,1,Sequence_78,33.59651037974683,73
60,1,Sequence_81,33.575430607594946,61
61,1,Sequence_66,33.56846220253164,77
62,1,Sequence_15,33.513726531645574,71
63,1,Sequence_44,33.479989924050635,72
64,1,Sequence_97,33.372853101265825,75
65,1,Sequence_74,33.372853101265825,75
66,1,Sequence_1,33.364860240506324,76
67,1,Sequence_58,32.96985574683545,71
68,1,Sequence_54,32.95289475949367,61
69,1,Sequence_10,32.88588415189872,82
70,1,Sequence_53,32.884018253164555,78
71,1,Sequence_43,32.1919880886076,71
72,1,Sequence_35,31.769753898734173,86
73,1,Sequence_87,31.644899949367094,69
74,1,Sequence_84,31.49721812658228,64
75,1,Sequence_20,31.313005974683538,71
76,1,Sequence_47,30.99331325316456,68
77,1,Sequence_52,30.652710531645575,73
78,1,Sequence_42,28.36634124050633,77
79,1,Sequence_51,28.18980813924051,76
80,1,Sequence_82,26.47322418987342,74
